Startup ID,Startup Name,Industry,Founded On,Annual Revenue (₹ Cr),Growth Rate (%),Profit Margin (%),Burn Rate (₹ Cr/Year),Founder Experience (Years),Active Customers,Current Valuation (₹ Cr),Funding Asked (₹ Cr),AI Readiness Score,Risk Score,Investment Score
ST023,Vision Solutions,RetailTech,25-Sep-2024,26.3,164,38,6.4,10,357159,327,63,53,60,179.4
ST057,Future Innovations,AI SaaS,19-Sep-2025,40.5,109,35,10.4,13,136807,256,20,67,62,175.5
ST024,Smart AI,EV,27-Jun-2025,20.3,207,9,1.2,20,74445,377,13,46,29,174.0
ST075,Vision Systems,RetailTech,23-Apr-2025,30.1,100,29,8.7,12,453797,440,10,95,44,173.5
ST071,Prime AI,EdTech,28-Sep-2025,33.9,88,33,16.0,17,293798,34,75,47,23,173.5
ST053,Green Bridge,Logistics,03-Jul-2025,27.3,202,38,17.4,10,173980,271,16,79,81,171.8
ST074,Prime Systems,FoodTech,07-Nov-2028,56.2,144,22,14.9,11,82906,477,73,86,58,171.3
ST061,Spark AI,HealthTech,16-Feb-2027,30.5,162,8,3.6,20,405788,446,33,100,58,169.9
ST044,Blue Systems,FinTech,20-Oct-2028,25.6,153,34,8.1,8,466717,409,66,93,73,169.8
ST062,Next Systems,Logistics,03-May-2024,47.0,112,33,16.4,11,324622,121,31,95,74,168.7
ST003,Blue Tech,CleanTech,01-Oct-2028,42.5,102,22,3.6,12,185331,290,10,46,31,168.3
ST038,Spark AI,AI SaaS,05-Apr-2025,48.0,218,15,12.2,11,427871,223,23,72,62,167.8
ST034,Prime AI,AI SaaS,31-Mar-2024,44.3,95,32,11.3,18,376607,466,5,47,69,167.8
ST092,Nova Dynamics,AgriTech,14-Sep-2024,18.0,46,34,2.6,8,417603,598,31,81,22,166.6
ST076,Growth Ventures,Logistics,10-Nov-2025,20.5,136,29,7.6,6,460973,122,61,71,24,166.1
ST073,Growth Tech,AI SaaS,01-May-2028,58.9,77,34,10.4,14,419190,444,48,52,85,165.7
ST091,Spark Dynamics,EV,13-Aug-2027,42.0,70,33,8.6,9,193048,82,55,94,66,165.5
ST011,Smart Tech,AI SaaS,19-Sep-2028,19.0,55,34,1.1,10,339993,539,30,72,42,162.7
ST033,Growth Systems,AI SaaS,19-Mar-2024,41.4,152,26,17.0,5,61834,464,49,96,53,159.5
ST036,Vision Bridge,RetailTech,19-Oct-2027,19.9,119,25,7.8,11,397237,198,77,75,36,159.2
ST017,Blue Innovations,FinTech,11-Oct-2027,47.5,119,17,2.6,15,347598,120,12,62,74,159.2
ST100,Spark Bridge,CleanTech,24-Nov-2028,7.6,204,28,14.8,19,353830,453,11,43,62,157.3
ST097,Blue Systems,EV,26-Aug-2025,54.2,97,14,2.1,10,242877,537,60,79,61,156.8
ST082,Green Solutions,AgriTech,26-Feb-2026,27.6,103,24,11.9,15,452393,514,18,84,52,156.6
ST032,Next Tech,AI SaaS,20-Dec-2025,19.7,218,19,4.8,8,341321,541,56,65,62,155.0
ST067,Growth Innovations,EV,27-Aug-2027,57.8,162,6,18.0,10,236855,304,28,76,25,154.6
ST059,Next Labs,FinTech,07-Feb-2027,50.3,90,19,7.1,11,158163,149,67,40,36,154.3
ST086,Future Tech,FoodTech,03-Jun-2024,32.8,84,15,5.4,17,78797,251,55,91,57,153.5
ST084,Prime Solutions,EdTech,10-Jul-2027,50.3,88,19,11.3,13,55941,60,44,54,44,152.4
ST080,Growth Works,HealthTech,02-Jun-2027,22.8,125,14,5.2,15,461570,411,35,76,43,152.0
ST081,Nova Innovations,AI SaaS,19-Oct-2027,30.9,164,14,4.9,10,291574,181,14,69,52,151.7
ST069,Spark Dynamics,AI SaaS,24-Oct-2025,42.2,88,30,14.8,19,65776,433,70,42,78,151.3
ST070,Prime Innovations,FoodTech,05-Apr-2028,49.8,15,34,8.0,8,32059,228,39,73,66,151.3
ST008,Growth AI,EV,08-Jan-2027,14.3,142,30,16.0,16,142752,458,79,49,53,149.6
ST013,Smart Works,EdTech,13-Sep-2027,15.9,76,10,2.5,17,254184,582,26,92,28,148.2
ST098,Blue Innovations,AgriTech,27-Apr-2026,7.8,194,12,15.5,19,182697,484,56,86,47,147.7
ST054,Future Labs,FoodTech,08-Oct-2028,18.2,130,20,13.8,20,175401,206,67,79,68,146.0
ST035,Prime Dynamics,HealthTech,14-Jan-2028,32.2,152,17,7.2,4,476883,327,69,100,62,145.6
ST048,Future AI,HealthTech,18-May-2028,18.1,122,21,15.2,17,346707,61,8,41,26,145.3
ST090,Spark Innovations,Logistics,15-Apr-2026,24.5,109,31,11.0,6,497334,306,9,96,73,145.2
ST001,Smart Tech,Logistics,14-May-2026,39.1,21,22,5.2,6,21663,50,16,87,33,144.3
ST093,Prime Labs,AI SaaS,24-Oct-2028,6.0,210,18,11.0,9,80858,153,74,61,38,143.6
ST027,Next Labs,FinTech,14-Nov-2025,41.9,82,37,9.3,3,409288,153,38,45,74,141.4
ST026,Next Solutions,Logistics,07-Mar-2025,56.0,41,13,5.5,5,381235,371,31,87,39,141.2
ST065,Prime Systems,AI SaaS,18-Jun-2026,39.6,83,14,2.2,7,70197,499,43,90,59,140.3
ST095,Future Ventures,Logistics,11-Aug-2024,5.0,204,31,9.9,4,241981,535,33,70,77,140.0
ST096,Blue Bridge,HealthTech,01-Oct-2026,56.8,26,38,6.1,2,378503,474,14,43,81,139.7
ST063,Growth Labs,RetailTech,11-Jul-2026,38.3,82,10,3.7,7,366429,501,42,75,29,139.3
ST028,Smart Labs,CleanTech,07-Apr-2027,11.4,128,32,10.5,5,294682,171,60,44,39,138.9
ST085,Future Bridge,EdTech,15-Feb-2025,47.7,23,28,13.5,4,74289,572,51,98,57,137.9
ST083,Next Labs,Logistics,06-Nov-2028,15.8,161,27,10.8,11,364556,70,68,41,70,136.6
ST099,Green Tech,HealthTech,30-Aug-2028,26.1,39,25,8.3,10,49755,115,60,63,39,135.7
ST004,Prime Dynamics,Logistics,28-Jan-2025,44.3,152,12,17.5,14,374398,91,10,45,57,134.0
ST045,Green AI,AI SaaS,11-Jun-2026,2.3,105,24,13.8,15,259616,49,54,74,48,132.5
ST079,Next Labs,FinTech,26-Oct-2025,45.3,126,11,13.9,5,422408,77,42,68,41,130.0
ST002,Green Systems,AI SaaS,15-Jul-2028,14.7,144,6,10.5,19,460763,26,25,66,48,129.9
ST020,Next Bridge,EV,17-Sep-2027,52.1,30,15,7.4,14,381652,518,24,56,78,123.7
ST015,Prime AI,FinTech,25-May-2024,9.0,72,9,6.7,20,376112,80,34,75,49,123.1
ST009,Spark Works,EdTech,10-Jun-2028,25.2,71,13,9.7,4,361768,452,13,88,26,122.6
ST077,Spark Innovations,AI SaaS,24-Nov-2025,7.8,131,5,13.3,15,331767,427,15,95,39,121.8
ST006,Smart AI,EdTech,04-Aug-2026,23.5,68,22,12.9,4,203943,296,76,78,41,120.8
ST060,Nova Solutions,FoodTech,21-Aug-2024,8.0,18,23,9.0,16,436025,86,56,61,43,120.7
ST050,Prime Labs,AI SaaS,25-Mar-2027,11.7,170,12,14.2,7,360125,404,55,59,33,120.3
ST064,Next Systems,AgriTech,20-May-2026,3.9,88,23,13.0,16,65175,577,33,44,49,119.9
ST058,Green Solutions,Logistics,05-Apr-2028,43.8,95,12,13.6,7,280060,309,17,52,47,118.7
ST051,Prime Tech,Logistics,21-May-2028,56.6,65,9,11.1,9,26532,375,73,46,58,116.2
ST072,Green Solutions,EV,15-Dec-2027,25.7,72,12,8.8,5,148353,445,66,81,39,115.8
ST029,Vision AI,HealthTech,25-Dec-2025,9.4,93,28,16.3,3,414005,593,57,97,65,114.2
ST039,Prime AI,RetailTech,09-Oct-2026,3.4,77,35,11.4,4,214533,269,23,69,73,113.5
ST043,Vision Bridge,EdTech,17-Dec-2027,15.6,100,25,16.2,4,117172,85,58,48,39,113.5
ST037,Green Innovations,FoodTech,15-Oct-2027,19.5,155,5,6.2,8,117041,543,65,67,61,113.0
ST018,Growth Bridge,EdTech,24-Jul-2025,25.4,101,11,5.2,8,247550,275,14,74,77,111.0
ST022,Vision Bridge,HealthTech,12-Mar-2027,5.3,145,10,15.5,4,134087,60,15,78,28,106.5
ST052,Green Tech,RetailTech,11-Jan-2026,26.8,109,9,9.6,12,338229,490,24,40,73,102.0
ST007,Blue Solutions,HealthTech,08-Mar-2025,14.7,98,8,4.9,3,483746,600,45,91,60,101.2
ST016,Vision Ventures,EdTech,21-Jan-2028,5.9,23,26,2.2,9,495478,504,36,57,82,100.9
ST049,Spark Systems,AgriTech,10-Aug-2026,57.1,66,6,11.6,9,371721,282,52,48,80,100.4
ST021,Nova Labs,Logistics,03-Sep-2026,13.0,70,8,10.8,19,268638,563,25,43,60,99.2
ST094,Future AI,Logistics,25-Oct-2025,16.5,59,12,12.2,2,13273,198,38,48,21,91.6
ST047,Blue Dynamics,AgriTech,20-Jul-2026,6.9,124,13,15.7,7,176361,365,53,43,53,88.9
ST040,Nova Ventures,AgriTech,03-Oct-2028,40.1,16,11,14.2,9,68626,487,22,51,79,80.9
